Student_ID,Age,Gender,State,Branch,College_Tier,CGPA,Attendance_Percentage,DSA_Problems_Solved,Aptitude_Score,Communication_Score,Projects_Count,Internships_Count,Certifications_Count,Open_Source_Contributions,GitHub_Contributions,LinkedIn_Activity_Score,Hackathons_Participated,Competitive_Programming_Rating,Study_Hours_Per_Week,Soft_Skills_Score,Leadership_Experience,Extracurricular_Activities,Placement_Status,Package_LPA
ST00074,20,Male,Maharashtra,Chemical,Tier-2,7.89,75.16,116,46,47,4,0,0,55.0,201,37.0,3,765,16,47,No,4,Not Placed,0.0
ST00075,19,Male,Telangana,CSE,Tier-3,8.02,73.5,247,36,25,2,1,3,202.0,1373,10.0,7,1722,20,39,No,3,Placed,23.28
ST00076,20,Male,Madhya Pradesh,Civil,Tier-2,8.26,76.03,150,45,18,6,2,2,38.0,432,50.0,2,837,22,43,No,3,Not Placed,0.0
ST00077,20,Male,Maharashtra,AIML,Tier-3,8.37,80.86,192,65,31,3,0,2,179.0,788,32.0,2,1368,21,31,No,4,Not Placed,0.0
ST00078,22,Female,Kerala,AIML,Tier-3,7.47,69.31,181,31,71,5,0,5,104.0,893,15.0,1,1473,11,63,No,4,Placed,7.99
ST00079,21,Male,West Bengal,Civil,Tier-2,6.65,73.92,247,11,52,1,1,2,64.0,310,24.0,2,977,23,54,No,3,Not Placed,0.0
ST00080,22,Male,Karnataka,IT,Tier-3,7.05,79.82,268,36,60,3,3,2,,864,35.0,4,1636,17,49,No,1,Placed,7.06
ST00081,22,Male,Tamil Nadu,EEE,Tier-2,8.73,65.14,198,34,61,0,2,1,57.0,322,28.0,2,921,25,58,No,2,Placed,4.38
ST00082,21,Male,Karnataka,Mechanical,Tier-3,6.6,72.36,86,38,47,4,0,1,58.0,228,38.0,1,544,16,56,No,2,Not Placed,0.0
ST00083,22,Male,Punjab,IT,Tier-2,7.94,85.46,204,22,46,3,1,4,75.0,753,51.0,4,2193,2,38,No,0,Not Placed,0.0
ST00084,20,Female,Gujarat,CSE,Tier-3,8.07,78.77,213,17,55,4,0,7,100.0,726,12.0,6,1700,17,52,No,1,Placed,5.6
ST00085,18,Male,Tamil Nadu,Chemical,Tier-2,8.02,71.28,171,34,84,2,0,4,39.0,228,56.0,1,926,29,64,No,1,Placed,3.43
ST00086,19,Female,Maharashtra,EEE,Tier-2,8.29,80.84,105,58,59,2,1,6,62.0,235,2.0,1,500,25,53,No,1,Placed,9.87
ST00087,22,Male,Karnataka,Civil,Tier-3,7.32,69.77,410,32,24,3,0,6,87.0,605,1.0,0,1561,0,36,No,3,Not Placed,0.0
ST00088,21,Female,Delhi,Mechanical,Tier-3,7.26,79.43,70,49,20,2,0,2,25.0,149,42.0,3,529,37,35,Yes,2,Not Placed,0.0
ST00089,20,Male,Maharashtra,Mechanical,Tier-3,8.89,81.76,150,48,51,2,0,3,83.0,276,25.0,1,1007,19,66,No,4,Not Placed,0.0
ST00090,21,Male,Andhra Pradesh,EEE,Tier-2,9.18,92.73,220,28,49,2,0,7,60.0,340,32.0,1,1184,34,42,Yes,6,Placed,9.94
ST00091,20,Male,Delhi,CSE,Tier-2,8.73,77.21,228,47,34,3,2,10,143.0,513,5.0,2,1477,25,29,No,2,Placed,8.91
ST00092,22,Male,Gujarat,Civil,Tier-1,8.22,79.41,182,60,80,0,0,1,48.0,505,80.0,0,902,20,65,No,2,Not Placed,0.0
ST00093,21,Male,Maharashtra,Civil,Tier-1,7.26,70.86,283,42,55,2,1,3,115.0,503,29.0,1,1059,18,50,No,1,Placed,11.51
ST00094,21,Female,Telangana,Mechanical,Tier-3,7.47,74.65,152,55,57,1,3,3,46.0,225,44.0,2,748,25,47,Yes,4,Not Placed,0.0
ST00095,20,Male,Telangana,Civil,Tier-3,7.24,67.21,84,40,63,2,0,4,47.0,260,44.0,0,601,23,61,Yes,2,Not Placed,0.0
ST00096,22,Female,Haryana,CSE,Tier-2,8.44,86.26,212,62,33,3,0,5,66.0,607,45.0,2,2128,18,43,No,1,Placed,6.01
ST00097,21,Female,Telangana,AIML,Tier-2,7.83,76.73,190,46,53,5,1,7,191.0,631,44.0,3,1583,21,45,No,0,Placed,11.01
ST00098,19,Male,Uttar Pradesh,CSE,Tier-1,8.25,76.63,269,23,50,0,1,5,364.0,1519,10.0,3,1838,21,56,Yes,6,Placed,20.2
ST00099,19,Female,Maharashtra,EEE,Tier-2,7.47,80.29,128,27,65,3,0,2,33.0,223,12.0,0,797,18,62,No,2,Not Placed,0.0
ST00100,24,Male,Gujarat,ECE,Tier-3,5.23,77.47,83,41,68,4,0,2,61.0,281,48.0,2,420,19,63,Yes,3,Not Placed,0.0
ST00101,23,Male,Delhi,CSE,Tier-2,8.62,93.48,221,37,58,5,1,3,57.0,420,33.0,4,1911,31,54,No,0,Placed,13.06
ST00102,22,Male,Gujarat,EEE,Tier-2,7.45,67.92,158,40,60,3,2,1,51.0,249,34.0,3,746,16,53,No,2,Placed,7.95
ST00103,20,Female,West Bengal,IT,Tier-2,8.32,81.52,295,49,51,4,0,5,89.0,449,26.0,0,2140,1,47,No,2,Placed,13.31
ST00104,24,Male,Kerala,ECE,Tier-1,7.46,80.58,177,38,72,6,0,4,72.0,337,44.0,2,775,23,76,No,4,Placed,9.03
ST00105,22,Male,Kerala,AIML,Tier-2,8.88,77.81,213,42,40,7,1,1,300.0,1352,19.0,4,1377,17,50,Yes,2,Placed,20.31
ST00106,22,Male,Tamil Nadu,CSE,Tier-1,7.3,68.88,269,45,34,8,3,1,76.0,537,,1,1992,28,48,No,1,Placed,22.24
ST00107,21,Male,Karnataka,ECE,Tier-2,7.44,82.04,151,39,66,5,0,1,43.0,298,25.0,2,654,23,49,Yes,3,Placed,9.75
ST00108,20,Male,Bihar,AIML,Tier-3,7.36,67.19,176,50,56,4,0,4,67.0,672,26.0,3,1539,22,47,No,5,Placed,7.61
ST00109,19,Male,Gujarat,IT,Tier-2,6.22,72.79,190,18,69,4,2,4,,813,28.0,5,1276,14,50,Yes,3,Placed,7.25
ST00110,23,Female,Chhattisgarh,IT,Tier-3,7.7,69.77,230,34,57,4,1,6,77.0,835,12.0,3,1802,10,43,No,3,Not Placed,0.0
ST00111,21,Male,Telangana,Chemical,Tier-1,8.45,77.4,193,68,45,5,2,4,56.0,331,52.0,1,794,28,54,No,2,Placed,7.65
ST00112,20,Male,Odisha,CSE,Tier-2,7.86,64.32,185,64,39,8,1,4,134.0,639,28.0,3,1022,18,43,No,1,Placed,5.67
ST00113,20,Other,Maharashtra,AIML,Tier-3,9.32,72.6,296,50,64,3,0,4,74.0,731,29.0,5,1904,33,52,Yes,4,Placed,9.53
ST00114,21,Female,Delhi,Mechanical,Tier-2,6.74,58.92,106,21,39,2,2,2,77.0,253,38.0,4,360,16,52,No,1,Not Placed,0.0
ST00115,20,Male,Telangana,AIML,Tier-1,6.28,88.8,216,47,60,4,1,7,160.0,561,29.0,3,1693,14,44,No,4,Placed,20.02
ST00116,23,Male,Maharashtra,ECE,Tier-2,6.49,60.7,88,64,40,1,0,3,29.0,835,3.0,1,729,1,34,No,1,Not Placed,0.0
ST00117,22,Male,Karnataka,Mechanical,Tier-1,7.82,81.21,182,23,83,4,2,2,82.0,317,93.0,4,850,9,74,No,4,Placed,7.22
ST00118,22,Female,Karnataka,CSE,Tier-3,8.37,71.48,211,57,28,5,3,3,198.0,1257,4.0,3,1751,18,31,No,3,Placed,36.99
ST00119,21,Male,Maharashtra,Chemical,Tier-1,7.9,58.63,209,50,72,7,5,1,61.0,541,59.0,1,696,33,59,Yes,2,Placed,6.16
ST00120,22,Male,Bihar,ECE,Tier-1,7.33,75.31,202,27,49,2,3,1,50.0,261,15.0,5,838,27,56,No,1,Placed,9.35
ST00121,21,Male,Odisha,Mechanical,Tier-3,8.62,95.65,233,59,58,4,0,1,58.0,348,29.0,1,1024,21,50,No,4,Not Placed,0.0
ST00122,22,Male,Madhya Pradesh,Chemical,Tier-2,7.4,68.23,81,26,64,1,1,0,46.0,282,28.0,6,372,8,45,No,2,Placed,5.65
ST00123,19,Male,Jharkhand,Civil,Tier-2,6.33,83.17,83,28,60,4,3,3,46.0,299,41.0,3,440,11,53,No,2,Placed,7.28
ST00124,21,Female,Haryana,AIML,Tier-2,8.35,90.5,218,42,76,4,2,4,131.0,439,,1,1545,29,64,No,0,Placed,8.5
ST00125,19,Male,Bihar,ECE,Tier-3,7.9,67.75,91,27,79,5,1,5,53.0,288,66.0,4,678,17,69,Yes,5,Not Placed,0.0
ST00126,21,Male,Karnataka,IT,Tier-3,7.55,62.08,209,40,0,2,3,8,54.0,668,13.0,3,1849,18,20,No,1,Not Placed,0.0
ST00127,20,Female,Tamil Nadu,ECE,Tier-3,8.73,72.44,106,32,46,5,2,6,24.0,326,46.0,0,658,24,52,Yes,0,Placed,7.12
ST00128,20,Male,Kerala,Mechanical,Tier-2,7.41,81.35,106,33,47,2,1,1,42.0,287,27.0,4,550,19,55,No,0,Not Placed,0.0
ST00129,19,Male,Telangana,IT,Tier-2,7.74,60.64,230,59,69,2,1,2,52.0,1122,20.0,3,1993,21,70,No,4,Placed,10.37
ST00130,21,Male,Gujarat,ECE,Tier-3,6.52,74.33,218,45,65,3,0,2,51.0,504,24.0,3,1022,13,58,No,3,Placed,9.52
ST00131,20,Female,Andhra Pradesh,EEE,Tier-3,6.75,72.29,53,44,26,5,1,5,19.0,126,4.0,3,548,16,30,No,0,Not Placed,0.0
ST00132,24,Male,Tamil Nadu,AIML,Tier-2,7.1,68.11,177,51,55,2,0,6,39.0,319,53.0,5,1409,32,45,Yes,6,Placed,7.58
ST00133,21,Female,Tamil Nadu,EEE,Tier-2,8.09,72.43,154,63,44,4,1,4,40.0,450,16.0,1,798,10,40,No,2,Placed,7.13
ST00134,20,Male,Rajasthan,CSE,Tier-2,6.93,70.89,202,15,63,2,3,6,53.0,1198,54.0,6,1398,12,54,No,1,Placed,13.57
ST00135,21,Male,Andhra Pradesh,EEE,Tier-1,7.67,75.16,273,45,80,1,0,4,65.0,367,52.0,2,907,28,57,Yes,2,Placed,6.04
ST00136,18,Male,Tamil Nadu,CSE,Tier-2,7.31,84.88,236,26,39,0,2,3,,644,28.0,1,1465,23,51,No,3,Placed,6.76
ST00137,24,Male,Delhi,Mechanical,Tier-3,7.31,70.47,82,30,49,1,0,1,86.0,406,40.0,0,414,6,45,No,0,Not Placed,0.0
ST00138,21,Male,Uttar Pradesh,CSE,Tier-3,6.7,70.77,201,19,34,4,1,9,103.0,472,0.0,4,2034,19,43,No,1,Not Placed,0.0
ST00139,22,Female,Telangana,EEE,Tier-1,7.57,78.57,199,68,39,4,2,7,101.0,605,55.0,2,1312,17,47,Yes,2,Placed,11.73
ST00140,19,Male,West Bengal,EEE,Tier-2,6.52,63.93,150,10,73,3,1,4,128.0,513,,3,722,14,60,No,1,Not Placed,0.0
ST00141,21,Male,Telangana,ECE,Tier-1,7.72,85.94,296,43,79,4,3,1,67.0,612,55.0,4,1081,16,59,No,5,Placed,20.84
ST00142,21,Female,Bihar,EEE,Tier-2,7.48,68.09,121,62,40,3,2,1,35.0,362,42.0,2,845,11,40,No,0,Not Placed,0.0
ST00143,24,Male,Telangana,Civil,Tier-2,7.56,77.49,140,39,72,2,1,5,77.0,690,25.0,1,952,13,59,No,2,Placed,10.11
ST00144,21,Male,Odisha,CSE,Tier-1,8.23,74.47,294,10,45,4,2,4,89.0,966,22.0,4,2204,8,54,Yes,2,Placed,20.8
ST00145,21,Male,Haryana,Mechanical,Tier-3,8.89,78.47,96,77,61,4,3,4,39.0,216,38.0,2,677,26,48,Yes,3,Placed,2.81
ST00146,20,Male,Madhya Pradesh,IT,Tier-3,5.94,83.01,195,57,34,5,2,1,60.0,1232,22.0,3,1809,1,45,No,2,Not Placed,0.0
ST00147,20,Female,Rajasthan,Mechanical,Tier-3,7.03,74.34,56,24,49,4,1,0,,255,48.0,0,694,15,49,No,3,Not Placed,0.0
ST00148,21,Female,Delhi,Civil,Tier-3,6.57,66.13,63,49,47,4,3,2,18.0,301,26.0,1,571,9,61,No,4,Not Placed,0.0
ST00149,21,Male,Andhra Pradesh,EEE,Tier-3,7.61,67.86,64,45,12,1,0,2,29.0,260,21.0,1,319,29,26,No,3,Not Placed,0.0
ST00150,18,Female,Andhra Pradesh,CSE,Tier-3,7.95,84.29,213,25,44,5,0,3,87.0,634,47.0,2,1784,4,39,No,3,Not Placed,0.0
ST00151,23,Male,Karnataka,IT,Tier-3,6.32,73.35,279,47,47,2,1,2,78.0,771,17.0,3,1908,14,51,No,1,Not Placed,0.0
ST00152,23,Other,Karnataka,ECE,Tier-2,7.77,71.31,133,35,38,3,2,4,38.0,264,5.0,2,709,6,30,No,2,Placed,8.72
ST00153,20,Female,Maharashtra,CSE,Tier-2,8.24,84.06,205,46,47,3,2,10,149.0,680,59.0,3,1831,24,47,No,0,Placed,6.85
ST00154,21,Male,Rajasthan,EEE,Tier-2,7.86,69.4,117,51,71,1,2,4,51.0,296,0.0,3,658,20,52,No,2,Placed,2.33
ST00155,19,Male,Maharashtra,Mechanical,Tier-3,7.06,66.46,81,44,48,1,1,1,32.0,423,7.0,2,560,14,51,No,1,Not Placed,0.0
ST00156,22,Female,Delhi,Mechanical,Tier-1,8.32,75.61,173,52,55,1,1,4,70.0,551,25.0,1,1067,21,49,Yes,1,Placed,7.84
ST00157,20,Male,Karnataka,CSE,Tier-2,7.28,71.19,235,24,35,5,0,4,124.0,678,39.0,3,1885,10,33,Yes,2,Placed,12.75
ST00158,22,Male,Maharashtra,Mechanical,Tier-3,8.12,63.66,77,8,37,2,3,3,60.0,267,21.0,3,563,34,43,No,2,Not Placed,0.0
ST00159,22,Male,Andhra Pradesh,IT,Tier-1,8.05,72.14,248,34,61,5,2,2,182.0,873,47.0,1,1912,19,56,Yes,4,Placed,22.03
ST00160,22,Male,Kerala,AIML,Tier-2,7.34,77.4,259,51,50,3,0,3,107.0,1002,52.0,1,1796,12,42,No,1,Not Placed,0.0
ST00161,19,Male,Tamil Nadu,ECE,Tier-3,6.28,67.4,136,17,34,1,0,5,56.0,254,41.0,1,689,13,38,Yes,3,Placed,5.69
ST00162,23,Male,Madhya Pradesh,EEE,Tier-2,7.51,73.77,171,39,44,5,0,5,67.0,290,25.0,2,634,19,49,Yes,1,Placed,6.1
ST00163,20,Female,Maharashtra,ECE,Tier-1,6.84,64.71,164,40,49,8,0,1,58.0,283,34.0,2,1138,13,54,Yes,0,Placed,7.37
ST00164,19,Male,Telangana,Civil,Tier-3,6.43,72.53,66,32,71,2,0,0,18.0,137,51.0,5,691,14,57,Yes,3,Not Placed,0.0
ST00165,21,Male,Karnataka,CSE,Tier-3,7.05,76.0,242,55,69,5,0,7,131.0,644,25.0,3,2262,26,63,Yes,2,Placed,11.49
ST00166,21,Male,Tamil Nadu,IT,Tier-2,7.44,83.62,294,32,55,3,1,5,145.0,1159,29.0,1,2041,26,59,No,1,Placed,20.05
ST00167,23,Male,Maharashtra,AIML,Tier-2,6.48,68.48,188,32,62,4,1,3,100.0,691,35.0,3,1394,8,59,No,2,Placed,6.43
ST00168,22,Male,Maharashtra,CSE,Tier-2,7.36,71.72,185,42,77,4,3,2,270.0,878,32.0,4,1595,17,68,Yes,1,Placed,21.97
ST00169,20,Male,Gujarat,IT,Tier-2,7.3,77.79,228,41,69,4,0,3,64.0,1128,48.0,1,1923,10,75,Yes,6,Placed,11.85
ST00170,24,Female,West Bengal,Mechanical,Tier-3,6.84,70.81,193,16,37,3,1,1,61.0,592,31.0,2,782,16,33,No,0,Not Placed,0.0
ST00171,20,Male,Karnataka,ECE,Tier-3,7.13,77.23,120,57,54,1,1,2,36.0,282,27.0,1,703,19,46,No,4,Not Placed,0.0
ST00172,21,Female,Madhya Pradesh,IT,Tier-3,7.9,80.38,212,56,44,2,1,2,94.0,881,45.0,5,1508,24,44,No,3,Placed,7.67
